Date,Site,Location,Tide,Month,T,TSS (mg/L),Salinity,DO (mg/L),NH4 (mgN/L),PO4 (mgP/L),TOC (mgC/L)
5/15/2018,Sài Gòn,72,High tide,5,29.3,35,0.22,,1.32,0.06,11.156
3/27/2017,Sài Gòn,72,High tide,3,28.8,63,1.93,,0.19,0.037,5.094
5/15/2018,Sài Gòn,72,Low tide,5,28.6,69,0.22,,1.66,0.07,17.498
12/11/2018,Sài Gòn,72,High tide,12,29.9,84,,,0.11,0.05,5.696
4/15/2018,Sài Gòn,72,High tide,4,28.8,49,0.65,,0,0.03,4.632
1/15/2018,Sài Gòn,72,Low tide,1,28.3,41,1.31,,1.97,0.34,12.556
3/16/2018,Sài Gòn,72,Low tide,3,28.5,115,1.5,,0.76,0.08,8.594
10/12/2018,Sài Gòn,72,High tide,10,29.5,157,0.27,,0.52,0.13,5.64
12/11/2018,Sài Gòn,72,Low tide,12,29.2,63,,,2.69,0.21,4.478
8/24/2017,Sài Gòn,72,High tide,8,29.6,28,0.68,,1.92,0.028,4.478
4/15/2018,Sài Gòn,72,Low tide,4,28.4,55,0.66,,0,0.03,4.366
1/15/2018,Sài Gòn,72,High tide,1,29.1,48,1.63,,1.31,0.24,3.736
3/16/2018,Sài Gòn,72,High tide,3,28.8,44,2.16,,0.3,0.04,4.31
8/24/2017,Sài Gòn,72,Low tide,8,29.8,35,0.82,,1.877,0.028,7.432
2/14/2018,Sài Gòn,72,High tide,2,28.8,61,0.98,,2.78,0.01,8.692
1/15/2017,Sài Gòn,72,Low tide,1,29.1,169,0.94,,2.177,0.019,7.894
9/22/2017,Sài Gòn,72,Low tide,9,28.2,42,0.18,,0,0.03,3.82
11/11/2018,Sài Gòn,72,Low tide,11,28.4,28,,,0.33,0.25,10.904
11/11/2018,Sài Gòn,72,High tide,11,28.7,47,,,4.75,0.05,4.17
10/9/2017,Sài Gòn,72,High tide,10,29.9,77,0.27,,2.012,0.07,7.32
2/14/2018,Sài Gòn,72,Low tide,2,28.1,113,1.23,,2.75,0.03,8.02
7/25/2017,Sài Gòn,72,Low tide,7,28.1,73,0.24,,0.823,0.102,6.452
5/29/2017,Sài Gòn,72,High tide,5,28.7,95,0.13,,2.913,0.147,7.782
10/12/2018,Sài Gòn,72,Low tide,10,28.5,319,0.39,,0.32,0.16,12.822
10/9/2017,Sài Gòn,72,Low tide,10,28.9,54,0.74,,1.822,0.189,8.132
3/27/2017,Sài Gòn,72,Low tide,3,28.8,133,2.62,,0.311,0.051,5.01
7/25/2017,Sài Gòn,72,High tide,7,28.4,94,0.26,,1.22,0.078,6.326
12/6/2017,Sài Gòn,72,High tide,12,29.7,101,0.26,,2.859,0.113,5.57
1/15/2017,Sài Gòn,72,High tide,1,28.9,92,0.5,,2.268,0.08,5.752
4/28/2017,Sài Gòn,72,Low tide,4,28.6,58,0.67,,0.106,0.075,3.806
4/28/2017,Sài Gòn,72,High tide,4,29.4,47,0.6,,0.29,0.038,3.974
5/29/2017,Sài Gòn,72,Low tide,5,28.8,59,0.17,,2.327,0.113,7.236
9/22/2017,Sài Gòn,72,High tide,9,29.6,55,0.84,,1.341,0.039,4.002
11/11/2017,Sài Gòn,72,High tide,11,28,46,0.09,,2.146,0.054,3.96
12/6/2017,Sài Gòn,72,Low tide,12,28.2,93,0.31,,2.96,0.115,4.38
6/26/2017,Sài Gòn,72,High tide,6,29.8,85,0.23,,0.998,0.14,4.142
